logical_name,asset_class,redistributed_in_repo,expected_env_var,example_filename,expected_local_path_or_source,required_for,notes
flat37_mapping_json,bundled_asset,yes,,eg37_mapping_20260622.json,assets/lookups/eg37_mapping_20260622.json,current flat-37 target mapping,99 extinction groups to 37-bit rule-output vectors
flat37_mapping_csv,bundled_asset,yes,,eg37_mapping_20260622.csv,assets/lookups/eg37_mapping_20260622.csv,current flat-37 target mapping,Human-readable mapping companion
revised_paper_summary_json,bundled_result_json,yes,,revised_paper_summary.json,results/revised_paper_summary.json,main table summaries,Compact current-paper benchmark/control numbers used by scripts/make_main_tables.py
flat37_grouped_cv_json,bundled_result_json,yes,,grouped_temp_cv_nll_20260622.json,results/flat37/calibration/grouped_temp_cv_nll_20260622.json,calibration audit,Grouped mineral-family temperature sweep
flat37_information_summary_json,bundled_result_json,yes,,flat37_information_theory_summary_bayes_t5_20260623.json,results/flat37/information_theory/flat37_information_theory_summary_bayes_t5_20260623.json,information-channel analysis,Summary-level information-channel artifact
rruff325_case_ids,zenodo_metadata_current,no,,rruff325_case_ids.csv,https://zenodo.org/records/21043734/files/paper_ai_diffraction_revised_20260629.tar.gz::benchmark_ids/rruff325_case_ids.csv,RRUFF-325 benchmark provenance,Zenodo package metadata file listing row index case_id RRUFF ID mineral and extinction-group label; included in Zenodo record https://zenodo.org/records/21043734
rruff473_case_ids,zenodo_metadata_current,no,,rruff473_case_ids.csv,https://zenodo.org/records/21043734/files/paper_ai_diffraction_revised_20260629.tar.gz::benchmark_ids/rruff473_case_ids.csv,RRUFF-473 benchmark provenance,Zenodo package metadata file listing row index case_id RRUFF ID mineral and extinction-group label; included in Zenodo record https://zenodo.org/records/21043734
flat37_posterior_npz_audit_bundle,audit_companion_only,no,,flat37_posterior_npz_bundle,external/audit/flat37_posterior_npz_bundle/,exact posterior audit replay,Not part of the main Zenodo package; compact JSON summaries are sufficient for table reproduction
sg_eg_categorical_outputs,zenodo_result_current,no,,sg230_collapsed_vs_eg99_categorical_784126.json,https://zenodo.org/records/21043734/files/paper_ai_diffraction_revised_20260629.tar.gz::results/sg_eg_categorical/,matched SG-to-EG control,Included as compact JSON/CSV outputs in the current Zenodo package; SG/EG training checkpoints are not included
rt_flat37_outputs,zenodo_result_current,no,,pubfix_rt_flat37_20260624_stage2c_r2346k_s1337_r325_t5p0.json,https://zenodo.org/records/21043734/files/paper_ai_diffraction_revised_20260629.tar.gz::results/regular_transformer/,regular-transformer comparison,Included as compact eval JSONs in the current Zenodo package with the matched RT checkpoint
stage1_base_checkpoint,zenodo_checkpoint,no,CHECKPOINT_PATH,xrd_model_ic6gfmvm_best.pth,external/checkpoints/xrd_model_ic6gfmvm_best.pth,training and ablation lineage,Download from Zenodo. This repo does not bundle checkpoints.
stage2a_checkpoint,zenodo_checkpoint,no,,xrd_model_h7dqlpfp_best.pth,external/checkpoints/xrd_model_h7dqlpfp_best.pth,decoder tradeoff reproduction,Named manuscript checkpoint for the Stage-2a decoder comparison.
stage2b_checkpoint,zenodo_checkpoint,no,,xrd_model_guvsasrs_best.pth,external/checkpoints/xrd_model_guvsasrs_best.pth,decoder tradeoff reproduction,Named manuscript checkpoint for the Stage-2b decoder comparison.
