path,kind,description,source,status,zenodo_filename,expected_local_path,checkpoint_role
src/paper_ai_diffraction/core/model.py,source,Core model definition,/Users/williamratcliff/ai-diffraction/Code/ViT_NVIDIA/model.py,copied,,,
src/paper_ai_diffraction/core/dataset.py,source,Dataset loading including mixed dual-source support,/Users/williamratcliff/ai-diffraction/Code/ViT_NVIDIA/dataset.py,copied,,,
src/paper_ai_diffraction/core/train.py,source,Training entrypoint,/Users/williamratcliff/ai-diffraction/Code/ViT_NVIDIA/train.py,copied,,,
src/paper_ai_diffraction/core/inference.py,source,Inference helpers,/Users/williamratcliff/ai-diffraction/Code/ViT_NVIDIA/inference.py,copied,,,
src/paper_ai_diffraction/core/streaming_dataset.py,source,Streaming dataset helper retained because train.py imports it,/Users/williamratcliff/ai-diffraction/Code/ViT_NVIDIA/streaming_dataset.py,copied,,,
src/paper_ai_diffraction/utils/extinction_multilabel.py,source,Extinction-group multilabel utilities,/Users/williamratcliff/ai-diffraction/Code/ViT_NVIDIA/extinction_multilabel.py,copied,,,
src/paper_ai_diffraction/eval/evaluate_calibration_metrics.py,source,Calibration metrics evaluation,/Users/williamratcliff/ai-diffraction/Code/ViT_NVIDIA/evaluate_calibration_metrics.py,copied,,,
src/paper_ai_diffraction/eval/evaluate_split_head_validity.py,source,Split-head validity evaluation,/Users/williamratcliff/ai-diffraction/Code/ViT_NVIDIA/evaluate_split_head_validity.py,copied,,,
src/paper_ai_diffraction/topology/compare_325_failure_modes.py,source,Topology/failure-mode comparison,/Users/williamratcliff/ai-diffraction/Code/ViT_NVIDIA/compare_325_failure_modes.py,copied,,,
src/paper_ai_diffraction/topology/plot_extinction_topology_flow.py,source,Topology-flow figure generation,/Users/williamratcliff/ai-diffraction/Code/ViT_NVIDIA/plot_extinction_topology_flow.py,copied,,,
src/paper_ai_diffraction/topology/analyze_topological_error_distance.py,source,Topology distance summary analysis,/Users/williamratcliff/ai-diffraction/Code/ViT_NVIDIA/analyze_topological_error_distance.py,copied,,,
src/paper_ai_diffraction/topology/plot_topological_error_distance.py,source,Topology distance plotting,/Users/williamratcliff/ai-diffraction/Code/ViT_NVIDIA/plot_topological_error_distance.py,copied,,,
src/paper_ai_diffraction/eval/plot_calibration_sweep.py,source,Calibration sweep plotting,/Users/williamratcliff/ai-diffraction/Code/ViT_NVIDIA/plot_calibration_sweep.py,copied,,,
configs/final_mixed_2500k_dualsource.json,config,Final champion dual-source config,/Users/williamratcliff/ai-diffraction/Code/ViT_NVIDIA/config_rruff_conditioned_dualsource_2346k_500kpo_from_ic6gfmvm_physpe_coord.json,copied,,,
configs/mixed_200k_pilot.json,config,Mixed-200k pilot config,/Users/williamratcliff/ai-diffraction/Code/ViT_NVIDIA/config_rruff_conditioned_mixed_200k_from_ic6gfmvm_physpe_coord.json,copied,,,
